name,count
application/vnd.multiad.creator.cif,5
application/x-endnote-connect,5
application/x-r-project,5
text/vnd.graphviz,5
application/x-esri-crs,5
application/x-stata-do,5
application/x-applix-spreadsheet,5
text/xml;charset=UTF-8,5
audio/x-mpegurl,4
text/xlsx,4
application/illustrator,4
application/x-ns-proxy-autoconfig,4
application/vnd.arinc,4
application/vnd.ibm.rights-management,4
application/vnd.fdsn.mseed,4
text/x-patch,4
application/x-sharedlib,4
application/gpkg,4
application/vnd.ms-excel.template.macroenabled.12,4
application/x-ole-storage,4
application/viplab+json,4
text/x-perl,4
application/x-dna,4
document/unknown,4
text/SGML,4
application/xhdf5,4
application/x-fasta+txt,4
application/x-shar,4
unknown/unknown,4
application/x-lzh-compressed,4
application/x-executable,4
application/vndams-excel,4
chemical/x-molfile,4
text/zip,4
application/x-photoshop,4
video/example,4
application/ppt,4
application/vnd.pmi.widget,4
chemical/x-cerius,4
application/vnd.ms-powerpoint.presentation.macroEnabled.12,4
application/vnd.stardivision.draw,3
application/vnd.rim.cod,3
image/cgm,3
text/x-c++hdr,3
application/x-dosexec,3
application/softgrid-7z,3
application/x-ms-application,3
application/asx,3
text/gml+xml,3
application/vnd.chemdraw+xml,3
application/x-octet-stream,3
test/csv,3
application/png,3
application/x-graphpad-prism-pzf,3
application/haansofthwp,3
application/rest,3
application/xqis,3
application/ascii,3
application/text-plain:formatted,3
application/a-qgis,3
audio/x-ms-wmv,3
application/vnd.openxmlformats-officedocument.wordprocessingml.template,3
application/vnd.google-apps.map,3
image/x-applix-graphics,3
text/x-rst,3
application/softgrid-sps,3
application/json+gzip,3
text/x-sfv,3
application/dsb,3
tesxt/json,3
application/cu-seeme,3
application/x-latex,3
application/Data Download,3
audio/x-matroska,3
application/nvivo-project,3
application/shapefiles,3
application/mxf,3
application/x-chimera,3
application/x-dvi,3
apploication/vnd.ms-excel,3
text/x-tcl,2
application/vnd.openxmlformats-officedocument.wordprocessingml.t,2
application/wps-office.docx,2
application/vnd.stardivision.writer,2
application/x-python-bytecode,2
audio/x-stm,2
application/x-abiword,2
text/gff3,2
application/x-tex-pk,2
application/x-pkcs7-crl,2
application/x-desktop,2
application/dwg,2
image/x-portable-graymap,2
image/tif,2
application/vnd.wolfram.player,2
text/html; charset=utf-8; charset=utf-8,2
text/x-ms-regedit,2
application/x-trash,2
text/nlogo,2
application/example,2
image/x-emf,2
application/x-fityk,2
application/vnd.oasis.opendocument.database,2
application/smil+xml,2
video/vnd.dece-mp4,2
image/x-wmf,2
application/hyperstudio,2
application/vnd.wolfram.cdf,2
application/ibooks,2
text/example,2
application/rdata,2
application/KaluzaAnalysis,2
application/htmlf,2
text/vnd.dvb.subtitle,2
application/vnd.nexus.nex,2
application/jpeg,2
application/DCD,2
image/x-mrsid-image,2
application/vnd.rn-realmedia,2
application/x-font-snf,2
application/irp,2
text/xls,2
image/vnd.radiance,2
